13800	13800	174	14
13800	14800	173	15
13800	15800	173	16
13800	16800	173	18
13800	17800	174	21
14800	12800	177	13
14800	13800	176	15
14800	14800	175	16
14800	15800	175	16
14800	16800	176	17
14800	17800	177	19
15800	12800	180	14
15800	13800	178	16
15800	14800	177	16
15800	15800	177	16
15800	16800	178	16
15800	17800	179	18
16800	12800	183	14
16800	13800	181	16
16800	14800	180	16
16800	15800	180	16
16800	16800	181	16
16800	17800	183	18
17800	12800	189	14
17800	13800	187	16
17800	14800	186	16
17800	15800	186	16
17800	16800	187	16
17800	17800	189	18
18800	12800	198	13
18800	13800	195	15
18800	14800	194	16
18800	15800	194	16
18800	16800	195	17
18800	17800	198	20
19800	12800	210	12
19800	13800	207	14
19800	14800	206	16
19800	15800	206	17
19800	16800	207	18
19800	17800	211	21
18800	12800	198	10
18800	13800	195	13
18800	14800	193	16
18800	15800	193	17
18800	16800	195	19
18800	17800	198	23
19800	12800	211	12
19800	13800	208	15
19800	14800	206	16
19800	15800	206	17
19800	16800	208	18
19800	17800	211	21
20800	12800	226	13
20800	13800	222	15
20800	14800	221	16
20800	15800	221	17
20800	16800	222	18
20800	17800	226	20
21800	12800	244	13
21800	13800	240	16
21800	14800	238	16
21800	15800	238	17
21800	16800	240	18
21800	17800	245	20
22800	12800	266	13
22800	13800	262	16
22800	14800	260	16
22800	15800	260	17
22800	16800	262	18
22800	17800	267	20
23800	12800	293	12
23800	13800	289	15
23800	14800	286	16
23800	15800	286	17
23800	16800	289	18
23800	17800	294	21
800	16800	34	15
800	17800	40	19
800	18800	42	22
800	19800	43	23
800	20800	40	25
800	21800	36	29
1800	16800	64	17
1800	17800	69	20
1800	18800	71	22
1800	19800	72	23
1800	20800	70	24
1800	21800	66	27
2800	16800	88	18
2800	17800	93	21
2800	18800	95	22
2800	19800	95	23
2800	20800	93	24
2800	21800	90	26
3800	16800	107	19
3800	17800	111	21
3800	18800	114	22
3800	19800	114	23
3800	20800	112	23
3800	21800	109	25
4800	16800	123	19
4800	17800	126	21
4800	18800	128	22
4800	19800	129	22
4800	20800	127	23
4800	21800	124	25
5800	16800	135	18
5800	17800	138	21
5800	18800	140	22
5800	19800	140	23
5800	20800	139	23
5800	21800	136	26
6800	16800	146	17
6800	17800	148	20
6800	18800	150	22
6800	19800	150	23
6800	20800	149	24
6800	21800	147	27
7800	16800	155	15
7800	17800	157	19
7800	18800	158	21
7800	19800	158	23
7800	20800	158	25
7800	21800	156	29
6800	16800	146	15
6800	17800	149	19
6800	18800	150	21
6800	19800	150	23
6800	20800	149	25
6800	21800	147	29
7800	16800	155	17
7800	17800	157	20
7800	18800	158	22
7800	19800	159	23
7800	20800	158	24
7800	21800	156	27
8800	16800	161	18
8800	17800	163	21
8800	18800	164	22
8800	19800	164	22
8800	20800	163	23
8800	21800	162	25
9800	16800	164	19
9800	17800	165	21
9800	18800	166	22
9800	19800	166	22
9800	20800	166	23
9800	21800	165	25
10800	16800	166	19
10800	17800	167	21
10800	18800	167	22
10800	19800	167	22
10800	20800	167	23
10800	21800	167	24
11800	16800	167	18
11800	17800	168	21
11800	18800	168	22
11800	19800	168	22
11800	20800	168	23
11800	21800	168	25
12800	16800	169	17
12800	17800	169	20
12800	18800	169	21
12800	19800	169	22
12800	20800	169	23
12800	21800	169	26
13800	16800	172	15
13800	17800	172	19
13800	18800	171	21
13800	19800	171	22
13800	20800	172	24
13800	21800	172	28
12800	16800	169	14
12800	17800	169	18
12800	18800	169	21
12800	19800	169	23
12800	20800	169	25
12800	21800	169	28
13800	16800	173	17
13800	17800	172	20
13800	18800	172	21
13800	19800	172	22
13800	20800	172	24
13800	21800	173	26
14800	16800	176	18
14800	17800	175	21
14800	18800	174	22
14800	19800	174	22
14800	20800	175	23
14800	21800	176	25
15800	16800	179	19
15800	17800	177	21
15800	18800	176	22
15800	19800	176	22
15800	20800	177	22
15800	21800	178	24
16800	16800	183	19
16800	17800	181	21
16800	18800	180	22
16800	19800	179	22
16800	20800	180	22
16800	21800	182	23
17800	16800	189	19
17800	17800	186	21
17800	18800	185	22
17800	19800	185	22
17800	20800	186	22
17800	21800	188	24
18800	16800	197	18
18800	17800	194	20
18800	18800	193	21
18800	19800	193	22
18800	20800	194	23
18800	21800	197	25
19800	16800	210	16
19800	17800	207	19
19800	18800	205	21
19800	19800	205	22
19800	20800	206	23
19800	21800	209	26
18800	16800	197	14
18800	17800	194	18
18800	18800	193	21
18800	19800	193	22
18800	20800	194	25
18800	21800	197	28
19800	16800	211	16
19800	17800	207	19
19800	18800	206	21
19800	19800	205	22
19800	20800	207	24
19800	21800	210	26
20800	16800	226	17
20800	17800	222	20
20800	18800	220	21
20800	19800	220	22
20800	20800	222	23
20800	21800	225	25
21800	16800	245	18
21800	17800	240	20
21800	18800	238	21
21800	19800	238	22
21800	20800	240	23
21800	21800	244	25
22800	16800	267	17
22800	17800	262	20
22800	18800	260	21
22800	19800	260	22
22800	20800	262	23
22800	21800	266	25
23800	16800	294	16
23800	17800	289	19
23800	18800	287	21
23800	19800	286	22
23800	20800	289	23
23800	21800	293	26
800	21800	39	23
